No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
156,CO,17,1 ,K-36（E）,,Y3,2110.5591 ,34.7058 ,SH,41.3,36.9,22.2,32.75,7,,0
157,CO,16,1 ,K-36（E）,,Y3,2096.3520 ,2.2325 ,SH,14,31.3,38.45,13.57,6,,0
158,FL,16,1 ,K-36（E）,,Y3,2184.0298 ,76.9210 ,SH,37.8,26.9,10.5,7.59,6,,0
159,FL,17,1 ,K-36（E）,,Y3,2173.4760 ,71.2382 ,SH,42.4,33.3,8.15,14.75,7,,1
160,PI,17,1 ,K-36（E）,,Y3,2164.9518 ,22.9342 ,SH,32.3,39.7,15.6,18.37,7,,0
161,FL,16,1 ,K-36（E）,,Y3,2217.3149 ,34.2999 ,SH,22.55,22.55,5.35,1.8,6,,0
162,FL,23,1 ,J-36（E）,,Y3,2147.0915 ,-11.1627 ,SH,16.6,24.3,3.4,1.02,14,,0
163,CO,17,1 ,J-36（E）,,Y3,2228.6806 ,-22.9342 ,SH,66.1,37.75,14.3,26.69,7,,1
164,FL,,1 ,J-36（E）,,Y3,2232.7397 ,-32.2703 ,SH,20.6,23.8,8.85,2.7,5,,0
165,CO,23,1 ,J-36（E）,,Y3,2226.6510 ,-80.1684 ,SH,37.75,47.75,11.45,19.47,14,,0
166,FL,,1 ,J-36（E）,,Y3,2225.0273 ,-93.5636 ,SH,19.35,20.7,3.35,1.57,7,,0
167,FL,23,1 ,J-36（E）,,Y3,2164.5459 ,-66.3672 ,SH,16.7,27.35,4.55,1.65,14,,1
168,FL,23,1 ,J-36（E）,,Y3,2146.2797 ,-130.0960 ,SH,19.8,26.6,14.2,2.32,14,,0
169,FL,17,1 ,J-36（E）,,Y3,2078.4917 ,-104.5233 ,SH,21.4,27.1,3.9,2.32,7,,1
170,FL,,1 ,J-36（E）,,Y3,2074.0267 ,-121.1659 ,SH,26.2,33.3,7.4,4.65,5,,1
171,FL,23,1 ,J-36（E）,,Y3,2051.2954 ,-108.5825 ,SH,16.85,26.7,10.9,2.65,14,,0
172,FL,,1 ,J-36（E）,,Y3,2022.8813 ,-93.5636 ,SH,20.85,22.8,2.8,1.23,3,,0
173,FL,,1 ,J-36（E）,,Y3,1989.1903 ,-55.4075 ,SH,22.9,16.9,6.55,1.23,,,0
174,KN,,1 ,J-36（E）,,Y3,1927.8970 ,-129.2842 ,SH,54.3,19.2,4.4,3.9,17,,0
175,CO,23,1 ,J-36（E）,,Y3,1981.8838 ,-150.3918 ,SH,53.8,42.8,12.65,20.38,14,,0
