No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
482 ,FL,,,L-38（E）,,表採,,,SH,29 ,16 ,5 ,2 ,16 ,,0 
483 ,RF,25 ,,J-31（E）,,Y3,,,SH,23 ,23 ,7 ,3 ,8 ,,0 
484 ,RF,,,E,,表採,,,TF,45 ,36 ,11 ,16 ,,,0 
485 ,FL,,,E,,表採,,,?,56 ,51 ,8 ,22 ,,,0 
486 ,CH,,,,,,,,SH,5 ,11 ,2 ,0 ,16 ,,0 
487 ,FL,,3 ,M-38（E）,,Y4,,,SH,23 ,18 ,4 ,1 ,,,0 
488 ,FL,,3 ,M-38（E）,倒木痕,Y4?,,,?,,,,,,,0 
489 ,FL,,,,,,,,?,,,,,,,0 
490 ,FL,7 ,,,,,,,SH,,,,,3 ,,0 
491 ,FL,,,,,,,,?,,,,,,,0 
492 ,FL,,,,,,,,?,,,,,,,0 
493 ,FL,,,,,,,,?,,,,,,,0 
494 ,CH,,1 ,K-36（E）,廃土,Y3M,,,?,16 ,12 ,3 ,0 ,,,0 
496 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,11 ,10 ,2 ,0 ,2 ,,0 
497 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,14 ,19 ,4 ,1 ,5 ,,0 
498 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,19 ,13 ,2 ,1 ,,,0 
499 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,11 ,12 ,1 ,0 ,5 ,,0 
500 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,11 ,14 ,2 ,0 ,,,0 
501 ,CH,23 ,1 ,K-36（E）,廃土,Y3M,,,SH,11 ,15 ,3 ,0 ,14 ,,0 
502 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,8 ,7 ,1 ,0 ,2 ,,0 
503 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,18 ,12 ,5 ,1 ,7 ,,0 
504 ,CH,2 ,1 ,K-36（E）,廃土,Y3M,,,SH,18 ,14 ,4 ,1 ,2 ,,0 
505 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,10 ,13 ,3 ,0 ,,,0 
506 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,9 ,7 ,1 ,0 ,,,0 
507 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,8 ,7 ,1 ,0 ,,,0 
508 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,13 ,10 ,2 ,0 ,,,0 
509 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,8 ,6 ,1 ,0 ,,,0 
510 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,9 ,8 ,1 ,0 ,,,0 
511 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,12 ,12 ,2 ,0 ,5 ,,0 
512 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,9 ,9 ,1 ,0 ,,,0 
513 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,6 ,11 ,2 ,0 ,,,0 
514 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,12 ,11 ,1 ,0 ,3 ,,0 
515 ,CH,,1 ,K-36（E）,廃土,Y3M,,,SH,6 ,11 ,2 ,0 ,5 ,,0 
516 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,16 ,16 ,5 ,1 ,,,0 
517 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,11 ,15 ,2 ,0 ,3 ,,0 
518 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,9 ,12 ,2 ,0 ,3 ,,0 
519 ,CH,22 ,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,10 ,9 ,2 ,0 ,13 ,,0 
520 ,CH,,3 ,M-38・39、L-38・39（E）,廃土,Y3M,,,SH,8 ,9 ,2 ,0 ,,,0 
